name|a|b
ศิริพร|siLriLphaawnM|Siriporn[aThaifemalegivenname](splendor,glory,andblessing)
สิริรักษ์|siLriHrakH|Sirirak[aThaigivenname]
ศิริรัตน์|siLriHratH|Sirirat[aThaigivenname]
ศิริวรรณ|siLriHwanM|Siriwan[afemalegivenname]
ศรีศักดิ์|seeRsakL|Sisak[aThaigivenname]
สีห์ศักดิ์|seeRsakL|Sisak[aThaigivenname]
สิทธิ|sitLthiH|Sitthi[aThaigivenname]
โสภาค|so:hRphaakF|Sobhak[aThainame]
สมบัติ|sohmRbatL|Sombat[aThaigivenname]
สมบูรณ์|sohmRbuunM|Somboon[aThaimalegivenname](perfect,complete)
สมบุญ|sohmRboonM|Sombun[aThaigivenname]
สมชาย|sohmRchaaiM|Somchai[aThaigivenname]
สมโชค|sohmRcho:hkF|Somchok[aThaigivenname]
สุดใจ|sootLjaiM|Somjai[aThaifemalegivenname]
สมจิต|sohmRjitL|Somjit[aThaifemalegivenname]
สมคิด|sohmRkhitH|Somkhit[aThaigivenname]
สมควร|sohmRkhuaanM|Somkhuan[aThaigivenname]
สมลักษณ์|sohmRlakHsaL|Somlaksa[aThaigivenname]
สมหมาย|sohmRmaaiR|Sommai[aThaigivenname]
สมเพียร|sohmRphiianM|Somphian[aThaigivenname]
สมภพ|sohmRphohpH|Somphop[aThaigivenname]
สมพงษ์|sohmRphohngM|Sompong;Somphong[aThaigivenname]
สมพร|sohmRphaawnM|Somporn[aThaigivenname]
สมรัตน์|sohmRratH|Somrat[aThaigivenname]
สมศักดิ์|sohmRsakL|Somsak[aThaigivenname]
สมทรง|sohmRsohngM|Somsong[aThaigivenname]
สมศรี|sohmRseeR|Somsri[aThaigivenname]
สมยศ|sohmRyohtH|Somyot[aThaigivenname]
สนธิ|sohnRthiH|Sonthi[aThaimalegivenname](combine)
สุนทรี|soonRthaHreeM|Soontharee[aThaigivenname]
สุชาดา|sooLchaaMdaaM|Suchada[aThaigivenname]
สุชาดาจะ|sooLchaaMdaaMjaL|Suchadacha[aThaigivenname]
สุชาย|sooLchaaiM|Suchai[aThaigivenname]
สุชาติ|sooLchaatF|Suchart[aThaigivenname]
สุจินดา|sooLjinMdaaM|Suchinda[aThaigivenname]
สุดา|sooLdaaM|Suda[aThaifemalename](woman,lady)
สุกัญญา|sooLganMyaaM|Sugunya[aThaigivenname]
สุหัตถ์|sooLhatL|Suhat[aThaigivenname]
สุจิต|sooLjitL|Sujit[aThaimaleorfemalegivenname]
สุเมธ|sooLmaehtF|Sumate[Thaiman'sgivenname](intelligentperson;thinker)
สุนัย|sooLnaiM|Sunai[aThaigivenname]
สุนีย์|sooLneeM|Sunee[aThaifemalegivenname]
สุนี|sooLneeM|Suni[aThaigivenname]
สุภา|sooLphaaM|Supa[aThaifemalegivenname]
ศุภชัย|soopLchaiM|Supachai[aThaimalegivenname](auspiciousvictory)
สุภาภรณ์|sooLphaaMphohnM|Supaporn[aThaigivenname]
ศุภวิทย์|soopLphaHwitH|Supawit[aThaigivenname]
สุพรรณ|sooLphanM|Suphan[aThaigivenname]
สุภาพ|sooLphaapF|Suphap[aThaigivenname]
ศุภวุฒิ|soopLphaHwootH|Suphawut;Subhawudhi[aThaimalegivenname](auspiciousandproficient)
สุพิชา|sooLphiHchaaM|Supicha(aThaigivenname)
สุพิศ|sooLphitH|Supit,Suphit[aThaimalegivenname]
ศุภผล|soopLphaHphohnR|Suppaphon[aThaigivenname]
ศุภรัตน์|soopLphaHratH|Supparat[aThaigivenname]
สุประภา|soopLraHphaaM|Suprapha[aThaigivenname]
สุรัตน์|sooLratH|Surat[aThaigivenname]
สุรี|sooLreeM|Suree;Surii[aThaifemalegivenname]
สุริยา|sooLriHyaaM|Suriya[aThaifemalename](sun)
